,targets_x,targets_y,scores
121,3,11,25.807485995594426
122,10,11,25.807485995594426
123,5,10,25.807485995594426
124,4,11,25.807485995594426
125,2,14,37.451068778310855
126,10,16,37.451068778310855
127,6,10,37.451068778310855
128,16,3,37.451068778310855
129,0,18,37.451068778310855
130,16,15,36.937420076644244
131,16,6,36.937420076644244
132,13,9,36.937420076644244
133,1,14,36.937420076644244
134,9,19,36.937420076644244
135,5,12,35.655277619344595
136,1,18,35.655277619344595
137,2,3,35.655277619344595
138,2,0,35.655277619344595
139,3,9,35.655277619344595
140,3,7,44.66297100950895
141,16,4,44.66297100950895
142,10,4,44.66297100950895
143,9,0,44.66297100950895
144,3,18,44.66297100950895
145,9,3,27.0909164075696
146,9,13,27.0909164075696
147,11,10,27.0909164075696
148,19,12,27.0909164075696
149,8,3,27.0909164075696
150,12,8,44.345072519396986
151,6,17,44.345072519396986
152,16,3,44.345072519396986
153,4,18,44.345072519396986
154,5,1,44.345072519396986
155,3,3,53.28273181505667
156,19,1,53.28273181505667
157,9,16,53.28273181505667
158,18,14,53.28273181505667
159,17,6,53.28273181505667
160,10,15,31.715787196904706
161,7,9,31.715787196904706
162,19,19,31.715787196904706
163,4,8,31.715787196904706
164,6,9,31.715787196904706
165,9,17,43.13744462953869
166,7,18,43.13744462953869
167,0,17,43.13744462953869
168,3,0,43.13744462953869
169,5,1,43.13744462953869
170,17,4,34.418434990129
171,11,17,34.418434990129
172,12,4,34.418434990129
173,16,13,34.418434990129
174,5,16,34.418434990129
175,19,19,56.25896785528839
176,8,2,56.25896785528839
177,2,5,56.25896785528839
178,16,3,56.25896785528839
179,6,4,56.25896785528839
180,11,16,43.56863570470115
181,1,4,43.56863570470115
182,2,7,43.56863570470115
183,10,10,43.56863570470115
184,19,1,43.56863570470115
185,6,18,35.83080009698968
186,4,16,35.83080009698968
187,10,0,35.83080009698968
188,15,7,35.83080009698968
189,11,15,35.83080009698968
190,4,9,51.27062181655041
191,3,0,51.27062181655041
192,18,14,51.27062181655041
193,18,0,51.27062181655041
194,10,18,51.27062181655041
195,8,8,41.331176927729544
196,15,8,41.331176927729544
197,0,19,41.331176927729544
198,10,13,41.331176927729544
199,4,3,41.331176927729544
200,1,5,48.91243903436795
201,11,3,48.91243903436795
202,18,6,48.91243903436795
203,0,18,48.91243903436795
204,11,0,48.91243903436795
205,6,17,51.22602980212719
206,17,16,51.22602980212719
207,18,2,51.22602980212719
208,10,10,51.22602980212719
209,5,4,51.22602980212719
210,7,18,48.079261469345525
211,10,11,48.079261469345525
212,19,6,48.079261469345525
213,0,17,48.079261469345525
214,2,2,48.079261469345525
215,1,17,35.906605862368224
216,19,18,35.906605862368224
217,16,15,35.906605862368224
218,4,16,35.906605862368224
219,5,12,35.906605862368224
220,15,14,33.90081390426726
221,18,14,33.90081390426726
222,9,18,33.90081390426726
223,3,2,33.90081390426726
224,7,12,33.90081390426726
225,11,14,35.41173232770116
226,18,3,35.41173232770116
227,4,9,35.41173232770116
228,19,5,35.41173232770116
229,5,11,35.41173232770116
230,7,2,41.664285738037215
231,17,3,41.664285738037215
232,13,0,41.664285738037215
233,0,12,41.664285738037215
